id,text,category
135,Admin Query #18 ac meeting room cooling properly,Admin
136,Admin Query #19 need new id card mine damaged,Admin
137,Admin Query #20 need new id card mine damaged,Admin
138,Admin Query #21 need new id card mine damaged,Admin
139,Admin Query #22 projector functioning,Admin
140,Admin Query #23 ac meeting room cooling properly,Admin
141,Admin Query #24 ac meeting room cooling properly,Admin
142,Admin Query #25 projector functioning,Admin
143,Admin Query #26 arrange stationery new intern,Admin
144,Admin Query #27 ac meeting room cooling properly,Admin
145,Admin Query #28 projector functioning,Admin
146,Admin Query #29 need new id card mine damaged,Admin
147,Admin Query #30 arrange stationery new intern,Admin
148,Admin Query #31 need new id card mine damaged,Admin
149,Admin Query #32 please book meeting room tomorrow,Admin
150,Admin Query #33 projector functioning,Admin
151,Admin Query #34 need new id card mine damaged,Admin
152,Admin Query #35 need new id card mine damaged,Admin
153,Admin Query #36 please book meeting room tomorrow,Admin
154,Admin Query #37 please book meeting room tomorrow,Admin
155,Admin Query #38 arrange stationery new intern,Admin
156,Admin Query #39 please book meeting room tomorrow,Admin
157,General Query #1 schedule call discus new policy,General
158,General Query #2 schedule call discus new policy,General
159,General Query #3 let plan team outing next week,General
160,General Query #4 thank quick response,General
161,General Query #5 please review attached document share feedback,General
162,General Query #6 thank quick response,General
163,General Query #7 good morning team please find attached weekly report,General
164,General Query #8 please review attached document share feedback,General
165,General Query #9 please review attached document share feedback,General
166,General Query #10 thank quick response,General
167,General Query #11 good morning team please find attached weekly report,General
168,General Query #12 schedule call discus new policy,General
169,General Query #13 please review attached document share feedback,General
170,General Query #14 good morning team please find attached weekly report,General
171,General Query #15 schedule call discus new policy,General
172,General Query #16 please review attached document share feedback,General
173,General Query #17 thank quick response,General
174,General Query #18 good morning team please find attached weekly report,General
175,General Query #19 good morning team please find attached weekly report,General
176,General Query #20 let plan team outing next week,General
177,General Query #21 thank quick response,General
178,General Query #22 please review attached document share feedback,General
179,General Query #23 schedule call discus new policy,General
180,General Query #24 good morning team please find attached weekly report,General
181,General Query #25 please review attached document share feedback,General
182,General Query #26 thank quick response,General
183,General Query #27 good morning team please find attached weekly report,General
184,General Query #28 please review attached document share feedback,General
185,General Query #29 good morning team please find attached weekly report,General
186,General Query #30 good morning team please find attached weekly report,General
187,General Query #31 good morning team please find attached weekly report,General
188,General Query #32 schedule call discus new policy,General
189,General Query #33 thank quick response,General
190,General Query #34 good morning team please find attached weekly report,General
191,General Query #35 thank quick response,General
192,General Query #36 let plan team outing next week,General
193,General Query #37 thank quick response,General
194,General Query #38 good morning team please find attached weekly report,General
195,General Query #39 good morning team please find attached weekly report,General
