id,subject,body,category
100,Finance Query #22,Please provide invoice for last month’s purchase.,Finance
101,Finance Query #23,Payment to vendor ABC is still pending.,Finance
102,Finance Query #24,Can you share the expense policy document?,Finance
103,Finance Query #25,There’s an error in my tax deduction for this month.,Finance
104,Finance Query #26,My reimbursement request has not been approved yet.,Finance
105,Finance Query #27,There’s an error in my tax deduction for this month.,Finance
106,Finance Query #28,Please provide invoice for last month’s purchase.,Finance
107,Finance Query #29,Please provide invoice for last month’s purchase.,Finance
108,Finance Query #30,There’s an error in my tax deduction for this month.,Finance
109,Finance Query #31,Please provide invoice for last month’s purchase.,Finance
110,Finance Query #32,There’s an error in my tax deduction for this month.,Finance
111,Finance Query #33,Payment to vendor ABC is still pending.,Finance
112,Finance Query #34,My reimbursement request has not been approved yet.,Finance
113,Finance Query #35,There’s an error in my tax deduction for this month.,Finance
114,Finance Query #36,My reimbursement request has not been approved yet.,Finance
115,Finance Query #37,Payment to vendor ABC is still pending.,Finance
116,Finance Query #38,Please provide invoice for last month’s purchase.,Finance
117,Finance Query #39,Please provide invoice for last month’s purchase.,Finance
118,Admin Query #1,Can you arrange stationery for the new interns?,Admin
119,Admin Query #2,Please book a meeting room for tomorrow.,Admin
120,Admin Query #3,Can you arrange stationery for the new interns?,Admin
121,Admin Query #4,The AC in meeting room A is not cooling properly.,Admin
122,Admin Query #5,The AC in meeting room A is not cooling properly.,Admin
123,Admin Query #6,"Need a new ID card, mine is damaged.",Admin
124,Admin Query #7,Please book a meeting room for tomorrow.,Admin
125,Admin Query #8,The projector is not functioning.,Admin
126,Admin Query #9,The AC in meeting room A is not cooling properly.,Admin
127,Admin Query #10,The AC in meeting room A is not cooling properly.,Admin
128,Admin Query #11,Please book a meeting room for tomorrow.,Admin
129,Admin Query #12,"Need a new ID card, mine is damaged.",Admin
130,Admin Query #13,"Need a new ID card, mine is damaged.",Admin
131,Admin Query #14,The AC in meeting room A is not cooling properly.,Admin
132,Admin Query #15,Please book a meeting room for tomorrow.,Admin
133,Admin Query #16,"Need a new ID card, mine is damaged.",Admin
134,Admin Query #17,Please book a meeting room for tomorrow.,Admin
135,Admin Query #18,The AC in meeting room A is not cooling properly.,Admin
136,Admin Query #19,"Need a new ID card, mine is damaged.",Admin
137,Admin Query #20,"Need a new ID card, mine is damaged.",Admin
138,Admin Query #21,"Need a new ID card, mine is damaged.",Admin
139,Admin Query #22,The projector is not functioning.,Admin
140,Admin Query #23,The AC in meeting room A is not cooling properly.,Admin
141,Admin Query #24,The AC in meeting room A is not cooling properly.,Admin
142,Admin Query #25,The projector is not functioning.,Admin
143,Admin Query #26,Can you arrange stationery for the new interns?,Admin
144,Admin Query #27,The AC in meeting room A is not cooling properly.,Admin
145,Admin Query #28,The projector is not functioning.,Admin
146,Admin Query #29,"Need a new ID card, mine is damaged.",Admin
147,Admin Query #30,Can you arrange stationery for the new interns?,Admin
148,Admin Query #31,"Need a new ID card, mine is damaged.",Admin
149,Admin Query #32,Please book a meeting room for tomorrow.,Admin
150,Admin Query #33,The projector is not functioning.,Admin
151,Admin Query #34,"Need a new ID card, mine is damaged.",Admin
152,Admin Query #35,"Need a new ID card, mine is damaged.",Admin
153,Admin Query #36,Please book a meeting room for tomorrow.,Admin
154,Admin Query #37,Please book a meeting room for tomorrow.,Admin
155,Admin Query #38,Can you arrange stationery for the new interns?,Admin
156,Admin Query #39,Please book a meeting room for tomorrow.,Admin
157,General Query #1,Can we schedule a call to discuss the new policy?,General
158,General Query #2,Can we schedule a call to discuss the new policy?,General
159,General Query #3,Let’s plan the team outing next week.,General
160,General Query #4,Thank you for your quick response!,General
161,General Query #5,Please review the attached document and share feedback.,General
162,General Query #6,Thank you for your quick response!,General
163,General Query #7,"Good morning team, please find attached the weekly report.",General
164,General Query #8,Please review the attached document and share feedback.,General
165,General Query #9,Please review the attached document and share feedback.,General
166,General Query #10,Thank you for your quick response!,General
167,General Query #11,"Good morning team, please find attached the weekly report.",General
168,General Query #12,Can we schedule a call to discuss the new policy?,General
169,General Query #13,Please review the attached document and share feedback.,General
170,General Query #14,"Good morning team, please find attached the weekly report.",General
171,General Query #15,Can we schedule a call to discuss the new policy?,General
172,General Query #16,Please review the attached document and share feedback.,General
173,General Query #17,Thank you for your quick response!,General
174,General Query #18,"Good morning team, please find attached the weekly report.",General
175,General Query #19,"Good morning team, please find attached the weekly report.",General
176,General Query #20,Let’s plan the team outing next week.,General
177,General Query #21,Thank you for your quick response!,General
178,General Query #22,Please review the attached document and share feedback.,General
179,General Query #23,Can we schedule a call to discuss the new policy?,General
180,General Query #24,"Good morning team, please find attached the weekly report.",General
181,General Query #25,Please review the attached document and share feedback.,General
182,General Query #26,Thank you for your quick response!,General
183,General Query #27,"Good morning team, please find attached the weekly report.",General
184,General Query #28,Please review the attached document and share feedback.,General
185,General Query #29,"Good morning team, please find attached the weekly report.",General
186,General Query #30,"Good morning team, please find attached the weekly report.",General
187,General Query #31,"Good morning team, please find attached the weekly report.",General
188,General Query #32,Can we schedule a call to discuss the new policy?,General
189,General Query #33,Thank you for your quick response!,General
190,General Query #34,"Good morning team, please find attached the weekly report.",General
191,General Query #35,Thank you for your quick response!,General
192,General Query #36,Let’s plan the team outing next week.,General
193,General Query #37,Thank you for your quick response!,General
194,General Query #38,"Good morning team, please find attached the weekly report.",General
195,General Query #39,"Good morning team, please find attached the weekly report.",General
